Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Brendan Allen,Bruno Silva,-200,W,Round 1 Sub, 279:00,Middleweight,Main Card,M,M. Goddard,
,Alex,Randy Brown,Wellington Thurman,-230,W,UD, 900:00,Welterweight,Prelim,M,A. Glenn,
,Chika,Ilia Topuria,Josh Emmett,-340,W,UD, 1500:00,Featherweight,Main Card,M,M. Goddard,
,Daniel,Ilia Topuria,Josh Emmett,-340,W,UD, 1500:00,Featherweight,Main Card,M,M. Goddard,
,Goro,Ilia Topuria,Josh Emmett,-340,W,UD, 1500:00,Featherweight,Main Card,M,M. Goddard,
,Ian,Tabatha Ricci,Gillian Robertson,-135,W,UD, 900:00,Strawweight (W),Prelim,F,K. Peterson,
,Joe,Tabatha Ricci,Gillian Robertson,-135,W,UD, 900:00,Strawweight (W),Prelim,F,K. Peterson,
,Kanta,Tabatha Ricci,Gillian Robertson,-135,W,UD, 900:00,Strawweight (W),Prelim,F,K. Peterson,
,Rav,Ilia Topuria,Josh Emmett,-340,W,UD, 1500:00,Featherweight,Main Card,M,M. Goddard,
,Scott,Ilia Topuria,Josh Emmett,-340,W,UD, 1500:00,Featherweight,Main Card,M,M. Goddard,
,Taylan,Maycee Barber,Amanda Ribas,165,W,Round 2 TKO, 522:00,Flyweight (W),Main Card,F,K. Peterson,
Week 2,Aaron,Grant Dawson,Damir Ismagulov,-110,W,UD, 900:00,Lightweight,Main Card,M,H. Dean,
,Alex,Joanderson Brito,Weslin Wilson,-1400,W,Round 1 TKO, 174:00,Featherweight,Prelim,M,C. Tognoni,
,Chika,Ismael Bonfim,Benoit Saint-Denis,-320,L,Round 1 Sub, 288:00,Lightweight,Main Card,M,H. Dean,
,Daniel,Joanderson Brito,Weslin Wilson,-1400,W,Round 1 TKO, 174:00,Featherweight,Prelim,M,C. Tognoni,
,Goro,Brunno Ferreira,Nursulton Ruziboev,-225,L,Round 1 TKO, 77:00,Middleweight,Main Card,M,M. Smith,
,Ian,Micheal Morales,Max Griffin,-250,W,UD, 900:00,Welterweight,Main Card,M,K. Hatley,
,Joe,Melissa Gatto,Ariane Lipski,-240,L,SD, 900:00,Flyweight,Main Card,F,C. Tognoni,
,Kanta,Micheal Morales,Max Griffin,-250,W,UD, 900:00,Welterweight,Main Card,M,K. Hatley,
,Rav,Joanderson Brito,Weslin Wilson,-1400,W,Round 1 TKO, 174:00,Featherweight,Prelim,M,C. Tognoni,
,Scott,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Taylan,Joanderson Brito,Weslin Wilson,-1400,W,Round 1 TKO, 174:00,Featherweight,Prelim,M,C. Tognoni,
Week 3,Aaron,Robert Whittaker,Dricus Du Plessis,-350,L,Round 2 TKO, 443:00,Middleweight,Main Card,M,M. Goddard,
,Alex,Tatsuro Taira,Edgar Chairez,-900,W,UD, 900:00,Catchweight,Prelim,M,H. Dean,
,Daniel,Bo Nickal,Val Woodburn,-1600,W,Round 1 TKO, 38:00,Middleweight,Main Card,M,C. Tognoni,
,Ian,Jalin Turner,Dan Hooker,-300,L,SD, 900:00,Catchweight,Main Card,M,M. Smith,
,Kanta,Tatsuro Taira,Edgar Chairez,-900,W,UD, 900:00,Catchweight,Prelim,M,H. Dean,
,Rav,Bo Nickal,Val Woodburn,-1600,W,Round 1 TKO, 38:00,Middleweight,Main Card,M,C. Tognoni,
,Taylan,Alexander Volkanovski,Yair Rodriguez,-375,W,Round 3 TKO, 859:00,Featherweight,Main Card,M,H. Dean,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Chika,Bo Nickal,Jalin Turner,Robert Whittaker,Brandon Moreno,Alexander Volkanovski,,2/5,N,,,
,Goro,Bo Nickal,Jalin Turner,Robert Whittaker,Alexandre Pantoja,Yair Rodriguez,,2/5,N,,,
,Joe,Bo Nickal,Jalin Turner,Robert Whittaker,Brandon Moreno,Alexander Volkanovski,,2/5,N,,,
,Scott,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,0/5,N,,,
Week 4,Alex,Azat Maksum,Tyson Nam,-420,W,SD, 900:00,Flyweight,Prelim,M,K. Peterson,
,Daniel,Jack Della Maddalena,Bassil Hafez,-575,W,SD, 900:00,Welterweight,Main Card,M,M. Smith,
,Kanta,Azat Maksum,Tyson Nam,-420,W,SD, 900:00,Flyweight,Prelim,M,K. Peterson,
,Rav,Jack Della Maddalena,Bassil Hafez,-575,W,SD, 900:00,Welterweight,Main Card,M,M. Smith,
,Taylan,Jack Della Maddalena,Bassil Hafez,-575,W,SD, 900:00,Welterweight,Main Card,M,M. Smith,
Week 5,Alex,Tom Aspinall,Marcin Tybura,-475,W,Round 1 TKO, 73:00,Heavyweight,Main Card,M,M. Goddard,
,Daniel,Tom Aspinall,Marcin Tybura,-475,W,Round 1 TKO, 73:00,Heavyweight,Main Card,M,M. Goddard,
,Kanta,Molly McCann,Julija Stoliarenko,-210,L,Round 1 TKO, 115:00,Flyweight (W),Main Card,F,J. Herzog,
,Rav,Tom Aspinall,Marcin Tybura,-475,W,Round 1 TKO, 73:00,Heavyweight,Main Card,M,M. Goddard,
,Taylan,Tom Aspinall,Marcin Tybura,-475,W,Round 1 TKO, 73:00,Heavyweight,Main Card,M,M. Goddard,
Week 6,Alex,Gabriel Bonfim,Trevin Giles,-350,W,Round 1 Sub, 73:00,Welterweight,Prelim,M,H. Dean,
,Daniel,Gabriel Bonfim,Trevin Giles,-350,W,Round 1 Sub, 73:00,Welterweight,Prelim,M,H. Dean,
,Rav,Bobby Green,Tony Ferguson,-375,W,Round 3 Sub, 894:00,Lightweight,Main Card,M,D. Miragliotta,
,Taylan,Jan Blachowicz,Alex Pereira,-110,L,SD, 900:00,Light Heavyweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,0/5,N,,,
,Ian ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,0/5,N,,,
,Kanta,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,0/5,N,,,
Week 7,Alex,Cory Sandhagen,Rob Font,-350,W,UD, 1500:00,Catchweight,Main Card,M,J. Herzog,
,Daniel,Cory Sandhagen,Rob Font,-350,W,UD, 1500:00,Catchweight,Main Card,M,J. Herzog,
,Rav,Cory Sandhagen,Rob Font,-350,W,UD, 1500:00,Catchweight,Main Card,M,J. Herzog,
Week 8,Alex,Hakeem Dawodu,Cub Swanson,-225,L,UD, 900:00,Featherweight,Main Card,M,J. Herzog,
,Daniel,Khalil Rountree Jr,Chris Daukaus,-175,W,Round 1 TKO, 160:00,Light Heavyweight,Main Card,M,H. Dean,
,Rav,Rafael Dos Anjos,Vicente Luque,-125,L,UD, 1500:00,Welterweight,Main Card,M,M. Smith,
,Daniel,,,,,,,,,,,Y
