Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Ty,Themba Gorimbo,Niko Price,-310,W,UD, 900:00,Welterweight,Prelim,M,H. Dean,
Week 6,Daniel,Robelis Despaigne,Austen Lane,-350,L,UD, 900:00,Heavyweight,Prelim,M,M. Smith,
,Sam,Kyler Philips,Rob Font,-455,L,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,
,Ty,Robelis Despaigne,Austen Lane,-350,L,UD, 900:00,Heavyweight,Prelim,M,M. Smith,
Week 7,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Daniel,Shara Magomedov,Lerone Murphy,Magomed Ankalaev,Robert Whittaker,Ilia Topuria,,4/5,Y,,,
,Kanta,Armen Petrosyan,Lerone Murphy,Magomed Ankalaev,Khamzat Chimaev,Ilia Topuria,,4/5,Y,,,
,Ty,Shara Magomedov,Lerone Murphy,Magomed Ankalaev,Robert Whittaker,Max Holloway,,3/5,N,,,
Week 8,Daniel,Mike Malott,Trevin Giles,-320,W,UD, 900:00,Welterweight,Main Card,M,A. Social,
,Kanta,Charles Jourdain,Victor Henry,-140,W,Round 2 Sub, 523:00,Bantamweight,Prelim,M,B. Grice,
Week 9,Daniel,Carlos Prates,Neil Magny,-800,W,Round 1 TKO, 290:00,Welterweight,Main Card,M,M. Smith,
,Kanta,Tresean Gore,Antonio Trocoli,-175,W,Round 1 Sub, 83:00,Middleweight,Prelim,M,K. Hatley,
Week 10,Daniel,Jon Jones,Stipe Miocic,-650,W,Round 3 TKO, 869:00,Heavyweight,Main Card,M,H. Dean,
,Kanta,Jim MIller,Damon Jackson,150,W,Round 1 Sub, 164:00,Lightweight,Prelim,M,K. Peterson,
Week 11,Daniel,Wang Cong,Gabriella Fernandes,-950,L,Round 2 Sub, 529:00,Flyweight (W),Main Card,F,M. Goddard,
,Kanta,Carlos Ulberg,Volkan Oezdemir,-230,W,UD, 900:00,Light Heavyweight,Main Card,M,M. Beltran,
,Kanta,,,,,,,,,,,Y
