Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Kanta,Bryce Mitchell,Paddy Pimblett,Shavkat Rakhmonov,Alexandre Pantoja,Leon Edwards,,4/5,N,,,
,Noah,Bryce Mitchell,Tony Ferguson,Shavkat Rakhmonov,Alexandre Pantoja,Colby Covington,,2/5,N,,,
Week 4,Aaron,Johnny Walker,Magomed Ankalaev,400,L,Round 2 TKO, 462:00,Light Heavyweight,Main Card,M,M. Goddard,
,Daniel,Waldo Cortes-Acosta,Andrei Arlovski,-750,W,UD, 900:00,Heavyweight,Main Card,M,M. Goddard,
,Ian,Waldo Cortes-Acosta,Andrei Arlovski,-750,W,UD, 900:00,Heavyweight,Main Card,M,M. Goddard,
,Rav,Magomed Ankalaev,Johnny Walker,-550,W,Round 2 TKO, 462:00,Light Heavyweight,Main Card,M,M. Goddard,
,Taylan,Jean Silva,Westin Wilson,-950,W,Round 1 TKO, 252:00,Featherweight,Prelim,M,M. Goddard,
,Ty,Farid Basharat,Taylor Lapilus,-280,W,UD, 900:00,Bantamweight,Prelim,M,C. Tognoni,
Week 5,Daniel,Mike Malott,Neil Magny,-380,L,Round 3 TKO, 885:00,Welterweight,Main Card,M,K. MacDonald,
,Ian,Mike Malott,Neil Magny,-380,L,Round 3 TKO, 885:00,Welterweight,Main Card,M,K. MacDonald,
,Rav,Mike Malott,Neil Magny,-380,L,Round 3 TKO, 885:00,Welterweight,Main Card,M,K. MacDonald,
,Taylan,Mike Malott,Neil Magny,-380,L,Round 3 TKO, 885:00,Welterweight,Main Card,M,K. MacDonald,
,Ty,Mike Malott,Neil Magny,-380,L,Round 3 TKO, 885:00,Welterweight,Main Card,M,K. MacDonald,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Alex,Arnold Allen,Marc-Andre Barriault,Mike Malott,Mayra Bueno Silva,Sean Strickland,,0/5,N,,,
,Chika,Arnold Allen,Marc-Andre Barriault,Mike Malott,Mayra Bueno Silva,Dricus Du Plessis,,1/5,N,,,
,Joe,Movsar Evloev,Chris Curtis,Mike Malott,Mayra Bueno Silva,Sean Strickland,,2/5,N,,,
Week 6,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Daniel,Anthony Hernandez,Merab Dvalishvili,Ian Machado Garry,Paulo Costa,Alexander Volkanovski,,3/5,Y,,,
,Rav,Anthony Hernandez,Merab Dvalishvili,Geoff Neal,Paulo Costa,Alexander Volkanovski,,2/5,N,,,
,Taylan,Anthony Hernandez,Merab Dvalishvili,Ian Machado Garry,Paulo Costa,Alexander Volkanovski,,3/5,Y,,,
,Ty,Roman Kopylov,Merab Dvalishvili,Ian Machado Garry,Paulo Costa,Alexander Volkanovski,,2/5,N,,,
Week 7,Daniel,Yazmin Jauregui,Sam Hughes,-600,W,UD, 900:00,Strawweight (W),Main Card,F,H. Dean,
,Taylan,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Daniel,,,,,,,,,,,Y
