Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Kelvin Gastelum,Sean Brady,100,L,Round 3 Sub, 703:00,Welterweight,Main Card,M,J. Montalvo,
,Alex,Rodolfo Bellato,Ihor Potieria,-440,W,Round 2 TKO, 557:00,Light Heavyweight,Prelim,M,J. Montalvo,
,Chika,Joaquim Silva,Clay Guida,-320,W,UD, 900:00,Lightweight,Main Card,M,M. Smith,
,Daniel,Rodolfo Bellato,Ihor Potieria,-440,W,Round 2 TKO, 557:00,Light Heavyweight,Prelim,M,J. Montalvo,
,Goro,Kelvin Gastelum,Sean Brady,100,L,Round 3 Sub, 703:00,Welterweight,Main Card,M,J. Montalvo,
,Ian,Kelvin Gastelum,Sean Brady,100,L,Round 3 Sub, 703:00,Welterweight,Main Card,M,J. Montalvo,
,Joe,Joaquim Silva,Clay Guida,-320,W,UD, 900:00,Lightweight,Main Card,M,M. Smith,
,Kanta,Punahele Soriano,Dustin Stoltzfus,-325,L,Round 2 Sub, 550:00,Middleweight,Main Card,M,K. Hatley,
,Noah,Jamey-Lyn Horth,Veronica Hardy,-190,L,SD, 900:00,Flyweight (W),Prelim,F,M. Smith,
,Rav,Deiveson Figueiredo,Rob Font,110,W,UD, 900:00,Bantamweight,Main Card,M,J. Rexroad,
,Taylan,Rodolfo Bellato,Ihor Potieria,-440,W,Round 2 TKO, 557:00,Light Heavyweight,Prelim,M,J. Montalvo,
,Ty,Joaquim Silva,Clay Guida,-320,W,UD, 900:00,Lightweight,Main Card,M,M. Smith,
Week 2,Alex,Song Yadong,Chris Gutierrez,-375,W,UD, 1500:00,Bantamweight,Main Card,M,H. Dean,
,Chika,Tatsuro Taira,Carlos Hernandez,-600,W,Round 2 TKO, 355:00,Flyweight,Prelim,M,M. Smith,
,Daniel,Hyun Sung Park,Shannon Ross,-600,W,Round 2 TKO, 539:00,Flyweight,Prelim,M,C. Tognoni,
,Joe,Khalil Rountree Jr,Anthony Smith,-200,W,Round 3 TKO, 656:00,Light Heavyweight,Main Card,M,M. Smith,
,Rav,Song Yadong,Chris Gutierrez,-375,W,UD, 1500:00,Bantamweight,Main Card,M,H. Dean,
,Taylan,Tatsuro Taira,Carlos Hernandez,-600,W,Round 2 TKO, 355:00,Flyweight,Prelim,M,M. Smith,
,Ty,Khalil Rountree Jr,Anthony Smith,-200,W,Round 3 TKO, 656:00,Light Heavyweight,Main Card,M,M. Smith,
Week 3,Alex,Casey O'Neill,Ariane Lipski,-190,L,Round 2 Sub, 378:00,Flyweight (W),Prelim,F,M. Smith,
,Chika,Brandon Royval,Alexandre Pantoja,160,L,UD, 1500:00,Flyweight,Main Card,M,M. Goddard,
,Daniel,Leon Edwards,Colby Covington,-160,W,UD, 1500:00,Welterweight,Main Card,M,H. Dean,
,Joe,Dustin Jacoby,Alonzo Menifield,-270,L,UD, 900:00,Light Heavyweight,Prelim,M,C. Tognoni,
,Rav,Shavkat Rakhmonov,Stephen Thompson,-650,W,Round 2 Sub, 595:00,Welterweight,Main Card,M,J. Herzog,
,Taylan,Shavkat Rakhmonov,Stephen Thompson,-650,W,Round 2 Sub, 595:00,Welterweight,Main Card,M,J. Herzog,
,Ty,Shavkat Rakhmonov,Stephen Thompson,-650,W,Round 2 Sub, 595:00,Welterweight,Main Card,M,J. Herzog,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Josh Emmett,Paddy Pimblett,Shavkat Rakhmonov,Alexandre Pantoja,Leon Edwards,,5/5,Y,,,
,Goro,Josh Emmett,Paddy Pimblett,Shavkat Rakhmonov,Alexandre Pantoja,Colby Covington,,4/5,N,,,
,Ian,Josh Emmett,Paddy Pimblett,Shavkat Rakhmonov,Alexandre Pantoja,Leon Edwards,,5/5,Y,,,
