Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 02,Chika,Movsar Evloev,Diego Lopes,-1000,W, 900:00,UD,Featherweight,Main Card,M,K. Peterson
Season 02,Chika,Ian Machado Garry,Daniel Rodriguez,-300,W, 177:00,Round 1 TKO,Welterweight,Main Card,M,D. Miragliotta
Season 02,Chika,Edmen Shahbazyan,Anthony Hernandez,170,L, 661:00,Round 3 TKO,Middleweight,Main Card,M,H. Dean
Season 02,Daniel,Gilbert Burns,Jorge Masvidal,-450,W, 900:00,UD,Welterweight,Main Card,M,M. Goddard
Season 02,Daniel,Chris Gutierrez,Pedro Munhoz,-215,L, 900:00,UD,Bantamweight,Main Card,M,J. Herzog
Season 02,Goro,Alex Pereira,Israel Adesanya,125,L, 561:00,Round 2 TKO,Middleweight,Main Card,M,D. Miragliotta
Season 02,Ian,Jaqueline Amorim,Sam Hughes,-275,L, 900:00,UD,Strawweight (W),E-Prelim,F,A. Glenn
Season 02,Joe,Alex Pereira,Israel Adesanya,125,L, 561:00,Round 2 TKO,Middleweight,Main Card,M,D. Miragliotta
Season 02,Kanta,Alex Pereira,Israel Adesanya,125,L, 561:00,Round 2 TKO,Middleweight,Main Card,M,D. Miragliotta
Season 02,Rav,Gilbert Burns,Jorge Masvidal,-450,W, 900:00,UD,Welterweight,Main Card,M,M. Goddard
Season 02,Rav,Rafa Garcia,Clay Guida,-270,W, 900:00,UD,Lightweight,Main Card,M,D. Bess
Season 02,Rav,Montel Jackson,Rani Yahya,-600,W, 222:00,Round 1 TKO,Bantamweight,Prelim,M,K. Peterson
Season 02,Rav,Caio Borralho,Michal Oleksiejczuk,-375,W, 469:00,Round 2 Sub,Middleweight,Main Card,M,J. Herzog
Season 02,Rav,Movsar Evloev,Diego Lopes,-1000,W, 900:00,UD,Featherweight,Main Card,M,K. Peterson
Season 02,Rav,Ian Machado Garry,Daniel Rodriguez,-300,W, 177:00,Round 1 TKO,Welterweight,Main Card,M,D. Miragliotta
Season 02,Rav,Natalia Silva,Victoria Leonardo,-1000,W, 178:00,Round 1 TKO,Flyweight (W),Prelim,F,K. Hatley
Season 02,Rav,Jaime Mullarkey,Muhammad Naimov,-450,L, 479:00,Round 2 TKO,Lightweight,Prelim,M,H. Dean
Season 02,Taylan,Israel Adesanya,Alex Pereira,-150,W, 561:00,Round 2 TKO,Middleweight,Main Card,M,D. Miragliotta
Season 02,Taylan,Rafa Garcia,Clay Guida,-270,W, 900:00,UD,Lightweight,Main Card,M,D. Bess
