Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Rav,Da-Woon Jung,Devin Clark,-250,L,UD, 900:00,Light Heavyweight,Main Card,M,M. Goddard,
,Taylan,Tatsuro Taira,Jesus Aguilar,-1200,W,Round 1 Sub, 260:00,Flyweight,Prelim,M,C. Tognoni,
Week 3,Chika,Jack Della Maddelana,Randy Brown,-330,W,Round 2 Sub, 133:00,Welterweight,Main Card,M,M. Goddard,
,Goro,Islam Makhachev,Alexander Volkanovski,-375,W,UD, 1500:00,Lightweight,Main Card,M,M. Goddard,
,Ian,Islam Makhachev,Alexander Volkanovski,-375,W,UD, 1500:00,Lightweight,Main Card,M,M. Goddard,
,Kanta,Justin Tafa,Parker Porter,-120,W,Round 1 TKO, 65:00,Heavyweight,Main Card,M,J. Herzog,
,Taylan,Alexander Volkanovski,Islam Makhachev,300,L,UD, 1500:00,Lightweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Jimmy Crute,Parker Porter,Randy Brown,Josh Emmett,Islam Makhachev,,1/5,N,,,
,Alex,Jimmy Crute,Justin Tafa,Jack Della Maddalena,Josh Emmett,Islam Makhachev,,3/5,N,,,
,Joe,Jimmy Crute,Justin Tafa,Randy Brown,Josh Emmett,Alexander Volkanovski,,1/5,N,,,
,Rav,Jimmy Crute,Parker Porter,Jack Della Maddalena,Yair Rodriguez,Islam Makhachev,,3/5,N,,,
Week 4,Chika,Zac Pauga,Jordan Wright,-275,W,UD, 900:00,Light Heavyweight,Main Card,M,M. Smith,
,Goro,Mayra Bueno Silva,Lina Lansberg,-500,W,Round 2 Sub, 585:00,Bantamweight (W),Prelim,F,J. Montalvo,
,Ian,Alexander Hernandez,Jim Miller,-235,W,UD, 900:00,Lightweight,Main Card,M,H. Dean,
,Kanta,Mayra Bueno Silva,Lina Lansberg,-500,W,Round 2 Sub, 585:00,Bantamweight (W),Prelim,F,J. Montalvo,
Week 5,Chika,Joe Solecki,Carl Deaton,-600,W,Round 2 Sub, 595:00,Lightweight,Prelim,M,J. Herzog,
,Goro,Nurullo Aliev,Rafael Alves,-190,W,MD, 900:00,Lightweight,Prelim,M,M. Smith,
,Ian,Tatiana Suarez,Montana De La Rosa,-800,W,Round 2 Sub, 471:00,Flyweight (W),Main Card,F,C. Tognoni,
,Kanta,Augusto Sakai,Don'Tale Mayes,-135,W,UD, 900:00,Heavyweight,Main Card,M,K. Hatley,
Week 6,Chika,Jon Jones,Ciryl Gane,-180,W,Round 1 Sub, 124:00,Heavyweight,Main Card,M,M. Goddard,
,Goro,Jon Jones,Ciryl Gane,-180,W,Round 1 Sub, 124:00,Heavyweight,Main Card,M,M. Goddard,
,Ian,Bo Nickal,Jaimie Pickett,-2000,W,Round 1 Sub, 174:00,Middleweight,Prelim,M,K. Peterson,
,Kanta,Ian Garry,Kenan Song,-770,W,Round 3 TKO, 862:00,Welterweight,E-Prelim,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Taylan,Bo Nickal,Mateusz Gamrot,Shavkat Rakhmanov,Valentina Shevchenko,Jon Jones,,4/5,N,,,
Week 7,Chika,Said Nurmagomedov,Jonathan Martinez,-230,L,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,
,Goro,Petr Yan,Merab Dvalishvili,-275,L,UD, 1500:00,Bantamweight,Main Card,M,H. Dean,
,Ian,Said Nurmagomedov,Jonathan Martinez,-230,L,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,
,Kanta,Petr Yan,Merab Dvalishvili,-275,L,UD, 1500:00,Bantamweight,Main Card,M,H. Dean,
Week 8,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Chika,Marvin Vettori,Casey O'Neill,Gunnar Nelson,Rafael Fiziev,Kamara Usman,,2/5,N,,,
,Goro,Roman Dolidze,Casey O'Neill,Bryan Barberena,Rafael Fiziev,Leon Edwards,,1/5,N,,,
,Ian,Marvin Vettori,Casey O'Neill,Gunnar Nelson,Rafael Fiziev,Kamara Usman,,2/5,N,,,
,Kanta,Marvin Vettori,Casey O'Neill,Gunnar Nelson,Rafael Fiziev,Leon Edwards,,3/5,Y,,,
,Kanta,,,,,,,,,,,Y
