Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Jessica Andrade,Lauren Murphy,-500,W,UD, 900:00,Flyweight (W),Main Card,F,O. Maia,
,Alex,Thiago Moises,Melquizael Costa,-380,W,Round 2 Sub, 545:00,Lightweight,Prelim,M,O. Maia,
,Chika,Thiago Moises,Melquizael Costa,-380,W,Round 2 Sub, 545:00,Lightweight,Prelim,M,O. Maia,
,Goro,Gilbert Burns,Neil Magny,-550,W,Round 1 Sub, 255:00,Welterweight,Main Card,M,F. Portella,
,Ian,Josiane Nunes,Zarah Fairn,-560,W,UD, 900:00,Featherweight (W),E-Prelim,F,M. Goddard,
,Joe,Ihor Potieria,Mauricio Rua,-200,W,Round 1 TKO, 245:00,Light Heavyweight,Prelim,M,H. Dean,
,Kanta,Jailton Almeida,Shamil Abdurakhimov,-1100,W,Round 2 TKO, 476:00,Heavyweight,E-Prelim,M,F. Portella,
,Rav,Johnny Walker,Paul Craig,-190,W,Round 1 TKO, 136:00,Light Heavyweight,Main Card,M,M. Goddard,
,Taylan,Gilbert Burns,Neil Magny,-550,W,Round 1 Sub, 255:00,Welterweight,Main Card,M,F. Portella,
Week 2,Aaron,Da-Woon Jung,Devin Clark,-250,L,UD, 900:00,Light Heavyweight,Main Card,M,M. Goddard,
,Alex,Doo-Ho Choi,Kyle Nelson,-185,L,Draw, 900:00,Featherweight,Main Card,M,C. Tognoni,
,Chika,Tatsuro Taira,Jesus Aguilar,-1200,W,Round 1 Sub, 260:00,Flyweight,Prelim,M,C. Tognoni,
,Goro,Tatsuro Taira,Jesus Aguilar,-1200,W,Round 1 Sub, 260:00,Flyweight,Prelim,M,C. Tognoni,
,Ian,Marcin Tybura,Blagoy Ivanov,-140,W,UD, 900:00,Heavyweight,Main Card,M,M. Smith,
,Joe,Derrick Lewis,Serghei Spivac,190,L,Round 1 Sub, 185:00,Heavyweight,Main Card,M,M. Goddard,
,Kanta,Tatsuro Taira,Jesus Aguilar,-1200,W,Round 1 Sub, 260:00,Flyweight,Prelim,M,C. Tognoni,
