Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Daniel,Said Nurmagomedov,Ikram Aliskerov,Magomed Ankalaev,Kamaru Usman,Alexander Volkanovski,,3/5,N,,,
,Rav,Said Nurmagomedov,Ikram Aliskerov,Magomed Ankalaev,Kamaru Usman,Islam Makhachev,,4/5,N,,,
,Scott,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,0/5,N,,,
,Taylan,Said Nurmagomedov,Ikram Aliskerov,Johnny Walker,Kamaru Usman,Alexander Volkanovski,,2/5,N,,,
,Ty,Said Nurmagomedov,Ikram Aliskerov,Magomed Ankalaev,Khamzat Chimaev,Alexander Volkanovski,,4/5,N,,,
Week 9,Ian,Jailton Almeida,Derrick Lewis,-500,W,UD, 1500:00,Heavyweight,Main Card,M,M. Goddard,
,Joe,Eduarda Moura,Montserrat Ruiz,-625,W,Round 2 TKO, 434:00,Catchweight,Prelim,F,J. C. Soares,
Week 10,Ian,Sergei Pavlovich,Tom Aspinall,-105,L,Round 1 TKO, 69:00,Heavyweight,Main Card,M,M. Goddard,
,Joe,Mateusz Rebecki,Roosevelt Roberts,-625,W,Round 1 Sub, 188:00,Catchweight,Prelim,M,M. Beltran,
,Joe,,,,,,,,,,,Y
