Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Rav,Reinier de Ridder,Jailton Almeida,Jiri Prochazka,Merab Dvalishvili,Islam Makhachev,,5/5,Y,,,
,Scott,Reinier de Ridder,Jailton Almeida,Jamahal Hill,Umar Nurmagomedov,Islam Makhachev,,3/5,N,,,
Week 4,Conor,Isreal Adesanya,Nassourdine Imavov,-165,L,Round 2 TKO, 330:00,Middleweight,Main Card,M,M. Goddard,
,Ian,Shamil Gaziev,Thomas Peterson,-350,W,Round 1 TKO, 192:00,Heavyweight,Prelim,M,J. Herzog,
,Kanta,Bogdan Grad,Lucas Alexander,100,W,Round 2 TKO, 562:00,Catchweight,Prelim,M,K. Hatley,
,Rav,Isreal Adesanya,Nassourdine Imavov,-165,L,Round 2 TKO, 330:00,Middleweight,Main Card,M,M. Goddard,
,Sam,Sergei Pavlovich,Jairzinho Rozenstruik,-290,W,UD, 900:00,Heavyweight,Main Card,M,M. Smith,
Week 5,Ian,Kevin Jousset,Jonathan Micallef,-210,L,UD, 900:00,Welterweight,E-Prelim,M,R. Mitchell,
,Kanta,Justin Tafa,Tallison Teixeira,130,L,Round 1 TKO, 35:00,Heavyweight,Main Card,M,R. Mitchell,
,Sam,Dricus Du Plessis,Sean Strickland,-210,W,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Conor,Jake Matthews,Rodolfo Bellato,Tallison Teixeira,Tatiana Suarez,Dricus Du Plessis,,3/5,N,,,
,Daniel,Jake Matthews,Jimmy Crute,Tallison Teixeira,Zhang Weili,Dricus Du Plessis,,4/5,N,,,
,Felix,Jake Matthews,Jimmy Crute,Tallison Teixeira,Zhang Weili,Dricus Du Plessis,,3/5,N,,,
,Goro,Jake Matthews,Rodolfo Bellato,Justin Tafa,Zhang Weili,Dricus Du Plessis,,2/5,N,,,
,Taylan,Jake Matthews,Jimmy Crute,Justin Tafa,Tatiana Suarez,Dricus Du Plessis,,3/5,N,,,
,Ty,Jake Matthews,Rodolfo Bellato,Tallison Teixeira,Zhang Weili,Sean Strickland,,3/5,N,,,
,Sam,,,,,,,,,,,Y
