Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Rav,Caio Borralho,Michal Oleksiejczuk,-375,W,Round 2 Sub, 469:00,Middleweight,Main Card,M,J. Herzog,
,Taylan,Jamey-Lyn Horth,Hailey Cowan,-160,W,UD, 900:00,Catchweight,Prelim,F,C. Tognoni,
Week 5,Chika,Movsar Evloev,Diego Lopes,-1000,W,UD, 900:00,Featherweight,Main Card,M,K. Peterson,
,Rav,Movsar Evloev,Diego Lopes,-1000,W,UD, 900:00,Featherweight,Main Card,M,K. Peterson,
,Taylan,Movsar Evloev,Diego Lopes,-1000,W,UD, 900:00,Featherweight,Main Card,M,K. Peterson,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Charles Jourdain,Movsar Evloev,Yan Xiaonan,Gilbert Burns,Aljamain Sterling,,4/5,N,,,
,Alex,Charles Jourdain,Movsar Evloev,Jessica Andrade,Gilbert Burns,Henry Cejudo,,2/5,N,,,
,Daniel,Charles Jourdain,Movsar Evloev,Jessica Andrade,Gilbert Burns,Aljamain Sterling,,3/5,N,,,
,Goro,Charles Jourdain,Movsar Evloev,Jessica Andrade,Gilbert Burns,Aljamain Sterling,,3/5,N,,,
,Ian ,Kron Gracie,Movsar Evloev,Yan Xiaonan,Gilbert Burns,Henry Cejudo,,2/5,N,,,
,Joe,Charles Jourdain,Movsar Evloev,Jessica Andrade,Gilbert Burns,Aljamain Sterling,,3/5,N,,,
,Kanta,Charles Jourdain,Diego Lopes,Jessica Andrade,Belal Muhammad,Aljamain Sterling,,3/5,N,,,
Week 6,Chika,Ian Machado Garry,Daniel Rodriguez,-300,W,Round 1 TKO, 177:00,Welterweight,Main Card,M,D. Miragliotta,
,Rav,Ian Machado Garry,Daniel Rodriguez,-300,W,Round 1 TKO, 177:00,Welterweight,Main Card,M,D. Miragliotta,
,Taylan,Carlos Ulberg,Ihor Potieria,-450,W,Round 1 TKO, 129:00,Light Heavyweight,Main Card,M,K. Peterson,
Week 7,Chika,Edmen Shahbazyan,Anthony Hernandez,170,L,Round 3 TKO, 661:00,Middleweight,Main Card,M,H. Dean,
,Rav,Natalia Silva,Victoria Leonardo,-1000,W,Round 1 TKO, 178:00,Flyweight (W),Prelim,F,K. Hatley,
,Taylan,Natalia Silva,Victoria Leonardo,-1000,W,Round 1 TKO, 178:00,Flyweight (W),Prelim,F,K. Hatley,
Week 8,Rav,Jaime Mullarkey,Muhammad Naimov,-450,L,Round 2 TKO, 479:00,Lightweight,Prelim,M,H. Dean,
,Taylan,Jaime Mullarkey,Muhammad Naimov,-450,L,Round 2 TKO, 479:00,Lightweight,Prelim,M,H. Dean,
Week 9,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Chika,Marc-Andre Barriault,Dan Ige,Mike Malott,Charles Oliveira,Irena Aldana,,4/5,N,,,
,Rav,Marc-Andre Barriault,Dan Ige,Mike Malott,Charles Oliveira,Amanda Nunes,,5/5,Y,,,
,Taylan,Marc-Andre Barriault,Dan Ige,Mike Malott,Charles Oliveira,Irena Aldana,,4/5,N,,,
,Rav,,,,,,,,,,,Y
