Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Gilbert Burns,Jorge Masvidal,-450,W,UD, 900:00,Welterweight,Main Card,M,M. Goddard,
,Alex,Raul Rosas Jr,Christian Rodriguez,-250,L,UD, 900:00,Catchweight,Main Card,M,K. Peterson,
,Chika,Gilbert Burns,Jorge Masvidal,-450,W,UD, 900:00,Welterweight,Main Card,M,M. Goddard,
,Daniel,Gilbert Burns,Jorge Masvidal,-450,W,UD, 900:00,Welterweight,Main Card,M,M. Goddard,
,Goro,Alex Pereira,Israel Adesanya,125,L,Round 2 TKO, 561:00,Middleweight,Main Card,M,D. Miragliotta,
,Ian,Jaqueline Amorim,Sam Hughes,-275,L,UD, 900:00,Strawweight (W),E-Prelim,F,A. Glenn,
,Joe,Alex Pereira,Israel Adesanya,125,L,Round 2 TKO, 561:00,Middleweight,Main Card,M,D. Miragliotta,
,Kanta,Alex Pereira,Israel Adesanya,125,L,Round 2 TKO, 561:00,Middleweight,Main Card,M,D. Miragliotta,
,Rav,Gilbert Burns,Jorge Masvidal,-450,W,UD, 900:00,Welterweight,Main Card,M,M. Goddard,
,Taylan,Israel Adesanya,Alex Pereira,-150,W,Round 2 TKO, 561:00,Middleweight,Main Card,M,D. Miragliotta,
Week 2,Aaron,Rafa Garcia,Clay Guida,-270,W,UD, 900:00,Lightweight,Main Card,M,D. Bess,
,Chika,Max Holloway,Arnold Allen,-185,W,UD, 1500:00,Featherweight,Main Card,M,J. Herzog,
,Daniel,Chris Gutierrez,Pedro Munhoz,-215,L,UD, 900:00,Bantamweight,Main Card,M,J. Herzog,
,Rav,Rafa Garcia,Clay Guida,-270,W,UD, 900:00,Lightweight,Main Card,M,D. Bess,
,Taylan,Rafa Garcia,Clay Guida,-270,W,UD, 900:00,Lightweight,Main Card,M,D. Bess,
Week 3,Aaron,King Green,Jared Gordon,-275,W,NC, 275:00,Lightweight,Main Card,M,K. Peterson,
,Chika,Jared Gordon,King Green,215,W,NC, 275:00,Lightweight,Main Card,M,K. Peterson,
,Rav,Montel Jackson,Rani Yahya,-600,W,Round 1 TKO, 222:00,Bantamweight,Prelim,M,K. Peterson,
,Taylan,Montel Jackson,Rani Yahya,-600,W,Round 1 TKO, 222:00,Bantamweight,Prelim,M,K. Peterson,
Week 4,Aaron,Ricky Simon,Song Yadong,-125,L,Round 5 TKO, 1270:00,Bantamweight,Main Card,M,H. Dean,
,Chika,Jamey-Lyn Horth,Hailey Cowan,-160,W,UD, 900:00,Catchweight,Prelim,F,C. Tognoni,
