Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Rav,Alex Pereira,Magomed Ankalaev,-120,L,UD, 1500:00,Light Heavyweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Conor,Mauricio Ruffy,Iasmin Lucindo,Ignacio Bahamondes,Justin Gaethje,Alex Pereira,,3/5,N,,,
,Daniel,Mauricio Ruffy,Iasmin Lucindo,Jalin Turner,Justin Gaethje,Alex Pereira,,2/5,N,,,
,Felix,Mauricio Ruffy,Iasmin Lucindo,Ignacio Bahamondes,Rafael Fiziev,Alex Pereira,,2/5,N,,,
,Ian,Mauricio Ruffy,Amanda Lemos,Ignacio Bahamondes,Rafael Fiziev,Magomed Ankalaev,,4/5,N,,,
,Kanta,Mauricio Ruffy,Iasmin Lucindo,Jalin Turner,Justin Gaethje,Alex Pereira,,2/5,N,,,
,Noah,Mauricio Ruffy,Amanda Lemos,Ignacio Bahamondes,Justin Gaethje,Alex Pereira,,4/5,N,,,
,Sam,Mauricio Ruffy,Iasmin Lucindo,Jalin Turner,Justin Gaethje,Alex Pereira,,2/5,N,,,
,Scott,Mauricio Ruffy,Iasmin Lucindo,Jalin Turner,Justin Gaethje,Alex Pereira,,2/5,N,,,
,Taylan,Mauricio Ruffy,Amanda Lemos,Ignacio Bahamondes,Rafael Fiziev,Alex Pereira,,3/5,N,,,
,Ty,Mauricio Ruffy,Amanda Lemos,Ignacio Bahamondes,Justin Gaethje,Alex Pereira,,4/5,N,,,
Week 4,Aaron,Roman Dolidze,Marvin Vettori,135,W,UD, 1500:00,Middleweight,Main Card,M,H. Dean,
,Alex,Kevin Vallejos,Choi Seung-Woo,-600,W,Round 1 TKO, 189:00,Featherweight,Main Card,M,K. Hatley,
,Chika,Alexander Hernandez,Kurt Holobaugh,-205,W,UD, 900:00,Lightweight,Main Card,M,K. Hatley,
,Goro,Diyar Nurgozhay,Brendson Ribeiro,-400,L,Round 1 Sub, 88:00,Catchweight,Main Card,M,H. Dean,
,Joe,Da'Mon Blackshear,Cody Gibson,-485,W,Round 2 Sub, 549:00,Bantamweight,Main Card,M,C. Tognoni,
Week 5,Aaron,Nathaniel Wood,Morgan Charriere,-110,W,UD, 900:00,Featherweight,Main Card,M,M. Goddard,
,Alex,Alexia Thainara,Molly McCann,-205,W,Round 1 Sub, 272:00,Strawweight (W),Main Card,F,L. Bosacki,
,Chika,Leon Edwards,Sean Brady,110,L,Round 4 Sub, 999:00,Welterweight,Main Card,M,J. Herzog,
,Joe,Kevin Holland,Gunnar Nelson,110,W,UD, 900:00,Welterweight,Main Card,M,D. Movahedi,
Week 6,Aaron,Drew Dober,Manuel Torres,105,L,Round 1 TKO, 105:00,Lightweight,Main Card,M,M. Beltran,
,Alex,Joe Pyfer,Kelvin Gastelum,-320,W,Not Applicable,Not Applicable,Middleweight,Main Card,M,,
,Joe,Joe Pyfer,Kelvin Gastelum,-320,W,Not Applicable,Not Applicable,Middleweight,Main Card,M,,
Week 7,Alex,Torrez Finney,Robert Valentin,-325,W,SD, 900:00,Middleweight,Main Card,M,M. Beltran,
,Joe,Torrez Finney,Robert Valentin,-325,W,SD, 900:00,Middleweight,Main Card,M,M. Beltran,
Week 8,Alex,Jean Silva,Bryce Mitchell,-205,W,Round 2 Sub, 532:00,Featherweight,Main Card,M,M. Beltran,
,Joe,Nikita Krylov,Dominick Reyes,-160,L,Round 1 TKO, 144:00,Light Heavyweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Dominick Reyes,Bryce Mitchell,Yair Rodriguez,Paddy Pimblett,Alexander Volkanovski,,4/5,N,,,
,Chika,Nikita Krylov,Jean Silva,Yair Rodriguez,Michael Chandler,Alexander Volkanovski,,3/5,N,,,
,Goro,Nikita Krylov,Bryce Mitchell,Yair Rodriguez,Paddy Pimblett,Alexander Volkanovski,,3/5,N,,,
,Rav,Nikita Krylov,Jean Silva,Yair Rodriguez,Paddy Pimblett,Alexander Volkanovski,,4/5,N,,,
,Alex,,,,,,,,,,,Y
