Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Melquizael Costa,Andre Fili,-130,W,Round 1 Sub, 270:00,Featherweight,Prelim,M,J. Hoiby,
,Alex,Jean Silva,Melsik Baghdasaryan,-550,W,Round 1 TKO, 255:00,Featherweight,Main Card,M,K. MacDonald,
,Chika,Rob Font,Jean Matsumoto,130,W,SD, 900:00,Catchweight,Main Card,M,K. Peterson,
,Conor,Jean Silva,Melsik Baghdasaryan,-550,W,Round 1 TKO, 255:00,Featherweight,Main Card,M,K. MacDonald,
,Daniel,Mansur Abdul-Malik,Nick Klein,-1350,W,Round 2 TKO, 504:00,Middleweight,Prelim,M,J. Herzog,
,Felix,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Goro,Anthony Hernandez,Brendan Allen,-330,W,UD, 900:00,Middleweight,Main Card,M,M. Beltran,
,Ian,Alonzo Menifield,Julius Walker,-245,W,SD, 900:00,Light Heavyweight,Main Card,M,J. Herzog,
,Joe,Austin Vanderford,Nikolay Veretennikov,-115,W,Round 2 TKO, 553:00,Catchweight,Prelim,M,K. MacDonald,
,Kanta,Jean Matsumoto,Rob Font,-160,L,SD, 900:00,Catchweight,Main Card,M,K. Peterson,
,Noah,Anthony Hernandez,Brendan Allen,-330,W,UD, 900:00,Middleweight,Main Card,M,M. Beltran,
,Rav,Song Yadong,Henry Cejudo,-260,W,UD, 900:00,Bantamweight,Main Card,M,J. Herzog,
,Sam,Song Yadong,Henry Cejudo,-260,W,UD, 900:00,Bantamweight,Main Card,M,J. Herzog,
,Scott,Jean Silva,Melsik Baghdasaryan,-550,W,Round 1 TKO, 255:00,Featherweight,Main Card,M,K. MacDonald,
,Taylan,Anthony Hernandez,Brendan Allen,-330,W,UD, 900:00,Middleweight,Main Card,M,M. Beltran,
,Ty,Alonzo Menifield,Julius Walker,-245,W,SD, 900:00,Light Heavyweight,Main Card,M,J. Herzog,
Week 2,Aaron,JJ Aldrich,Andrea Lee,-190,W,UD, 900:00,Flyweight (W),Prelim,F,C. Tognoni,
,Alex,Danny Silva,Lucas Almeida,-260,W,SD, 900:00,Catchweight,Prelim,M,M. Beltran,
,Chika,Manel Kape,Asu Almabayev,-220,W,Round 3 TKO, 736:00,Flyweight,Main Card,M,M. Beltran,
,Conor,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Daniel,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Goro,Hyder Amil,William Gomis,180,W,SD, 900:00,Featherweight,Main Card,M,C. Tognoni,
,Ian,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Joe,Chepe Mariscal,Ricardo Ramos,-370,W,UD, 900:00,Featherweight,Prelim,M,J. Herzog,
,Noah,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Rav,Manel Kape,Asu Almabayev,-220,W,Round 3 TKO, 736:00,Flyweight,Main Card,M,M. Beltran,
,Sam,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Scott,Danny Barlow,Sam Patterson,-225,L,Round 1 TKO, 190:00,Welterweight,Main Card,M,M. Beltran,
,Taylan,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Ty,Esteban Ribovics,Nasrat Haqparast,-265,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
Week 3,Aaron,Mauricio Ruffy,King Green,-480,W,Round 1 TKO, 127:00,Lightweight,Main Card,M,C. Tognoni,
,Alex,Mauricio Ruffy,King Green,-480,W,Round 1 TKO, 127:00,Lightweight,Main Card,M,C. Tognoni,
,Chika,Justin Gaethje,Rafael Fiziev,135,W,UD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Goro,Joshua Van,Rei Tsuruya,-165,W,UD, 900:00,Flyweight,Prelim,M,J. Herzog,
,Joe,Mauricio Ruffy,King Green,-480,W,Round 1 TKO, 127:00,Lightweight,Main Card,M,C. Tognoni,
