Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Drew Dober,Jean Silva,100,L,Round 3 TKO, 688:00,Lightweight,Main Card,M,H. Dean,
,Alex,Gabriel Bonfim,Ange Loosa,-395,W,UD, 900:00,Welterweight,Main Card,M,D. Miragliotta,
,Chika,Gabriel Bonfim,Ange Loosa,-395,W,UD, 900:00,Welterweight,Main Card,M,D. Miragliotta,
,Conor,Gabriel Bonfim,Ange Loosa,-395,W,UD, 900:00,Welterweight,Main Card,M,D. Miragliotta,
,Daniel,Evan Elder,Darrius Flowers,-420,W,Round 2 Sub, 406:00,Welterweight,Prelim,M,J. Ojeda,
,Goro,Drew Dober,Jean Silva,100,L,Round 3 TKO, 688:00,Lightweight,Main Card,M,H. Dean,
,Ian,Rose Namajunas,Tracy Cortez,-280,W,UD, 1500:00,Flyweight (W),Main Card,F,H. Dean,
,Joe,Drew Dober,Jean Silva,100,L,Round 3 TKO, 688:00,Lightweight,Main Card,M,H. Dean,
,Kanta,Drew Dober,Jean Silva,100,L,Round 3 TKO, 688:00,Lightweight,Main Card,M,H. Dean,
,Noah,Rose Namajunas,Tracy Cortez,-280,W,UD, 1500:00,Flyweight (W),Main Card,F,H. Dean,
,Rav,Rose Namajunas,Tracy Cortez,-280,W,UD, 1500:00,Flyweight (W),Main Card,F,H. Dean,
,Sam,Christian Rodriguez,Julian Erosa,-250,L,Round 1 Sub, 289:00,Featherweight,Main Card,M,N. Berens,
,Scott,Rose Namajunas,Tracy Cortez,-280,W,UD, 1500:00,Flyweight (W),Main Card,F,H. Dean,
,Taylan,Evan Elder,Darrius Flowers,-420,W,Round 2 Sub, 406:00,Welterweight,Prelim,M,J. Ojeda,
,Ty,Gabriel Bonfim,Ange Loosa,-395,W,UD, 900:00,Welterweight,Main Card,M,D. Miragliotta,
Week 2,Alex,Jeong Yeong Lee,Hyder Amil,-185,L,Round 1 TKO, 65:00,Featherweight,Main Card,M,M. Smith,
,Chika,Steve Garcia,Seung Woo Choi,-150,W,Round 1 TKO, 96:00,Featherweight,Main Card,M,H. Dean,
,Conor,Cody Gibson,Brain Kelleher,-205,W,Round 1 Sub, 236:00,Bantamweight,Prelim,M,K. Hatley,
,Daniel,Jeong Yeong Lee,Hyder Amil,-185,L,Round 1 TKO, 65:00,Featherweight,Main Card,M,M. Smith,
,Ian,Mohammed Usman,Thomas Peterson,-120,L,UD, 900:00,Heavyweight,Prelim,M,K. Hatley,
,Noah,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Rav,Bruno Silva,Cody Durden,-110,W,Round 2 TKO, 478:00,Flyweight,Main Card,M,C. Tognoni,
,Scott,Mohammed Usman,Thomas Peterson,-120,L,UD, 900:00,Heavyweight,Prelim,M,K. Hatley,
,Taylan,Miranda Maverick,Dione Barbosa,-225,W,UD, 900:00,Flyweight (W),Prelim,F,C. Tognoni,
,Ty,Miranda Maverick,Dione Barbosa,-225,W,UD, 900:00,Flyweight (W),Prelim,F,C. Tognoni,
Week 3,Chika,Arnold Allen,Giga Chikadze,-275,W,UD, 900:00,Featherweight,Main Card,M,M. Goddard,
,Conor,Tom Aspinall,Curtis Blaydes,-400,W,Round 1 TKO, 60:00,Heavyweight,Main Card,M,M. Goddard,
,Rav,Tom Aspinall,Curtis Blaydes,-400,W,Round 1 TKO, 60:00,Heavyweight,Main Card,M,M. Goddard,
,Taylan,Tom Aspinall,Curtis Blaydes,-400,W,Round 1 TKO, 60:00,Heavyweight,Main Card,M,M. Goddard,
,Ty,Arnold Allen,Giga Chikadze,-275,W,UD, 900:00,Featherweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Leon Edwards,,3/5,N,,,
,Alex,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Leon Edwards,,3/5,N,,,
,Daniel,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Leon Edwards,,3/5,N,,,
,Goro,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Belal Muhammad,,4/5,N,,,
,Ian,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Curtis Blaydes,Leon Edwards,,2/5,N,,,
,Joe,Giga Chikadze,Christian Leroy Duncan,Bobby Green,Tom Aspinall,Leon Edwards,,1/5,N,,,
,Kanta,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Leon Edwards,,3/5,N,,,
,Noah,Arnold Allen,Christian Leroy Duncan,Bobby Green,Tom Aspinall,Leon Edwards,,2/5,N,,,
,Sam ,Arnold Allen,Christian Leroy Duncan,Bobby Green,Tom Aspinall,Leon Edwards,,2/5,N,,,
,Scott,Arnold Allen,Christian Leroy Duncan,Paddy Pimblett,Tom Aspinall,Leon Edwards,,3/5,N,,,
Week 4,Chika,Shamil Gaziev,Don'Tale Mayes,-270,W,UD, 900:00,Heavyweight,Prelim,M,K. Peterson,
,Conor,Alonzo Menifield,Azamat Murzakanov,175,L,Round 2 TKO, 498:00,Light Heavyweight,Prelim,M,D. Movahedi,
,Rav,Shara Magomedov,Michal Oleksiejczuk,-325,W,UD, 900:00,Middleweight,Main Card,M,D. Movahedi,
,Taylan,Kaue Fernandes,Mohammad Yahya,-395,W,Round 1 TKO, 285:00,Lightweight,Prelim,M,M. Goddard,
,Ty,Shara Magomedov,Michal Oleksiejczuk,-325,W,UD, 900:00,Middleweight,Main Card,M,D. Movahedi,
Week 5,Chika,Danny Barlow,Nikolay Veretennikov,-375,W,SD, 900:00,Catchweight,Main Card,M,M. Beltran,
