Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
,Rav,Sergey Spivak,Marcin Tybura,-150,W,Round 1 Sub , 104:00,Heavyweight,Main Card,M,H. Dean,
,Taylan,Youssef Zalal,Jarno Errens,-450,W,Round 1 Sub, 232:00,Featherweight,Prelim,M,M. Beltran,
,Ty,Youssef Zalal,Jarno Errens,-450,W,Round 1 Sub, 232:00,Featherweight,Prelim,M,M. Beltran,
Week 6,Chika,Israel Adesanya,Dricus Du Plessis,-135,L,Round 4 Sub, 1118:00,Middleweight,Main Card,M,M. Goddard,
,Rav,Israel Adesanya,Dricus Du Plessis,-135,L,Round 4 Sub, 1118:00,Middleweight,Main Card,M,M. Goddard,
,Taylan,Israel Adesanya,Dricus Du Plessis,-135,L,Round 4 Sub, 1118:00,Middleweight,Main Card,M,M. Goddard,
,Ty,Tom Nolan,Alex Reyes,-1100,W,UD, 900:00,Lightweight,E-Prelim,M,R. Mitchell,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,-,
,Conor,Carlos Partes,Tai Tuivasa,Dan Hooker,Kai Kara-France,Israel Adesanya,,3/5,N,,,
,Ty,,,,,,,,,,,Y
